liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-IsYOCw8E/,Cleveland Cavaliers,Boston Celtics,12 May 2024_NBA_Cleveland Cavaliers_Boston Celtics,12 May 2024,3.15,16.50,1.38,3.25,17.00,1.40,3.55,1.31,3.60,1.32,3.00,1.03,1.31,3.00,1.03,1.31
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-MJ8SLDug/,Dallas Mavericks,Oklahoma City Thunder,11 May 2024_NBA_Dallas Mavericks_Oklahoma City Thunder,11 May 2024,1.84,15.50,2.01,1.87,16.00,2.05,1.83,2.01,1.87,2.10,1.74,1.04,1.87,1.74,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-hKUzt3Fi/,Minnesota Timberwolves,Denver Nuggets,11 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,11 May 2024,1.75,15.00,2.17,1.80,15.00,2.20,1.64,2.32,1.67,2.40,1.67,1.04,1.91,1.67,1.04,1.91
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-dUhxW4j2/,Boston Celtics,Dallas Mavericks,18 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,18 Jun 2024,1.47,15.00,2.83,1.50,15.00,2.90,1.36,3.29,1.39,3.31,1.37,1.03,2.60,1.37,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-boston-celtics-6iOfHeYI/,Dallas Mavericks,Boston Celtics,15 Jun 2024_NBA_Dallas Mavericks_Boston Celtics,15 Jun 2024,1.83,15.00,2.10,1.83,15.00,2.10,1.99,1.85,2.00,1.89,1.69,1.04,1.87,1.69,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-boston-celtics-YwQnJH36/,Dallas Mavericks,Boston Celtics,13 Jun 2024_NBA_Dallas Mavericks_Boston Celtics,13 Jun 2024,1.54,15.50,2.55,1.57,16.00,2.60,1.69,2.21,1.72,2.25,1.46,1.03,2.40,1.46,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-xCWwLwZg/,Boston Celtics,Dallas Mavericks,10 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,10 Jun 2024,1.47,15.50,2.83,1.50,16.00,2.90,1.37,3.23,1.39,3.30,1.37,1.03,2.60,1.37,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-UoTVMa4s/,Boston Celtics,Dallas Mavericks,07 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,07 Jun 2024,1.49,15.50,2.73,1.50,16.00,2.85,1.41,2.99,1.43,3.05,1.40,1.03,2.60,1.40,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-2V13yfaE/,Minnesota Timberwolves,Dallas Mavericks,31 May 2024_NBA_Minnesota Timberwolves_Dallas Mavericks,31 May 2024,1.56,15.50,2.47,1.57,16.00,2.55,1.51,2.64,1.53,2.67,1.48,1.03,2.40,1.48,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-tQzVri13/,Dallas Mavericks,Minnesota Timberwolves,29 May 2024_NBA_Dallas Mavericks_Minnesota Timberwolves,29 May 2024,1.84,15.00,2.01,1.87,15.00,2.05,1.82,2.02,1.85,2.05,1.74,1.04,1.87,1.74,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-boston-celtics-jwigCJQO/,Indiana Pacers,Boston Celtics,28 May 2024_NBA_Indiana Pacers_Boston Celtics,28 May 2024,2.58,18.00,1.54,2.60,19.00,1.60,3.39,1.34,3.40,1.35,2.25,1.03,1.48,2.25,1.03,1.48
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-QHhrLm9d/,Dallas Mavericks,Minnesota Timberwolves,27 May 2024_NBA_Dallas Mavericks_Minnesota Timberwolves,27 May 2024,1.97,15.00,1.89,2.05,15.00,1.91,1.83,2.00,1.85,2.02,1.87,1.04,1.74,1.87,1.04,1.74
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-boston-celtics-IPhoEudC/,Indiana Pacers,Boston Celtics,26 May 2024_NBA_Indiana Pacers_Boston Celtics,26 May 2024,2.57,16.75,1.55,2.69,17.50,1.56,3.32,1.35,3.40,1.38,2.34,1.03,1.44,2.34,1.03,1.44
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-IikzN9vp/,Minnesota Timberwolves,Dallas Mavericks,25 May 2024_NBA_Minnesota Timberwolves_Dallas Mavericks,25 May 2024,1.44,17.50,2.94,1.46,19.00,3.02,1.40,3.04,1.41,3.10,1.36,1.03,2.60,1.36,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-indiana-pacers-xGpwG1Ra/,Boston Celtics,Indiana Pacers,24 May 2024_NBA_Boston Celtics_Indiana Pacers,24 May 2024,1.39,17.00,3.18,1.40,17.00,3.40,1.25,4.10,1.26,4.20,1.29,1.03,3.10,1.29,1.03,3.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-b3x2uIfB/,Minnesota Timberwolves,Dallas Mavericks,23 May 2024_NBA_Minnesota Timberwolves_Dallas Mavericks,23 May 2024,1.61,15.50,2.38,1.63,16.00,2.45,1.52,2.61,1.53,2.65,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-indiana-pacers-UksVHNdm/,Boston Celtics,Indiana Pacers,22 May 2024_NBA_Boston Celtics_Indiana Pacers,22 May 2024,1.35,17.00,3.43,1.36,17.00,3.70,1.23,4.27,1.25,4.50,1.26,1.03,3.20,1.26,1.03,3.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-vJHjMg0m/,Denver Nuggets,Minnesota Timberwolves,20 May 2024_NBA_Denver Nuggets_Minnesota Timberwolves,20 May 2024,1.60,15.00,2.42,1.63,15.00,2.50,,,,,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-indiana-pacers-SfhZgKEt/,New York Knicks,Indiana Pacers,19 May 2024_NBA_New York Knicks_Indiana Pacers,19 May 2024,1.73,15.00,2.17,1.77,15.00,2.20,1.66,2.29,1.68,2.30,1.67,1.04,1.91,1.67,1.04,1.91
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-OQXlFms1/,Dallas Mavericks,Oklahoma City Thunder,19 May 2024_NBA_Dallas Mavericks_Oklahoma City Thunder,19 May 2024,1.64,15.50,2.33,1.67,16.00,2.40,1.58,2.48,1.60,2.55,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-new-york-knicks-Igzo14wH/,Indiana Pacers,New York Knicks,18 May 2024_NBA_Indiana Pacers_New York Knicks,18 May 2024,1.55,16.67,2.52,1.56,20.00,2.70,1.50,2.68,1.51,2.70,1.44,1.03,2.50,1.44,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-UDcZnEI6/,Minnesota Timberwolves,Denver Nuggets,17 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,17 May 2024,1.71,17.00,2.18,1.78,20.00,2.30,1.77,2.10,1.78,2.11,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-jcsNECMt/,Oklahoma City Thunder,Dallas Mavericks,16 May 2024_NBA_Oklahoma City Thunder_Dallas Mavericks,16 May 2024,1.63,15.33,2.35,1.63,16.00,2.45,1.53,2.57,1.53,2.61,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-lj28NK5j/,Boston Celtics,Cleveland Cavaliers,16 May 2024_NBA_Boston Celtics_Cleveland Cavaliers,16 May 2024,1.18,19.33,4.98,1.22,20.00,5.50,1.06,9.96,1.07,10.50,1.13,1.02,5.00,1.13,1.02,5.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-n1nnoQCs/,Denver Nuggets,Minnesota Timberwolves,15 May 2024_NBA_Denver Nuggets_Minnesota Timberwolves,15 May 2024,1.61,15.00,2.45,1.65,15.00,2.50,1.54,2.55,1.57,2.60,1.53,1.04,2.25,1.53,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-indiana-pacers-6kRuDu1b/,New York Knicks,Indiana Pacers,15 May 2024_NBA_New York Knicks_Indiana Pacers,15 May 2024,1.87,15.00,1.98,1.91,15.00,2.00,1.83,2.00,1.85,2.02,1.80,1.04,1.80,1.80,1.04,1.80
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-Io2yKiA5/,Dallas Mavericks,Oklahoma City Thunder,14 May 2024_NBA_Dallas Mavericks_Oklahoma City Thunder,14 May 2024,1.85,15.00,2.01,1.87,15.00,2.05,1.84,1.99,1.87,2.02,1.74,1.04,1.87,1.74,1.04,1.87
