URL,H_TEAM_NICKNAME,A_TEAM_NICKNAME,GAME_DATE,H_TEAM_ID,A_TEAM_ID,GAME_ID
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-detroit-pistons-rs788FI9/,Brooklyn Nets,Detroit Pistons,2024-04-07,1610612751.0,1610612765.0,0022301128
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-lakers-cleveland-cavaliers-E7249e33/,Los Angeles Lakers,Cleveland Cavaliers,2024-04-06,1610612747.0,1610612739.0,0022301127
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-utah-jazz-zH30Aylc/,Los Angeles Clippers,Utah Jazz,2024-04-06,1610612746.0,1610612762.0,0022301126
https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-YBPHohBd/,Phoenix Suns,Minnesota Timberwolves,2024-04-06,1610612756.0,1610612750.0,0022301125
https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-golden-state-warriors-tbz1d5Vi/,Dallas Mavericks,Golden State Warriors,2024-04-06,1610612742.0,1610612744.0,0022301097
https://www.oddsportal.com/basketball/usa/nba-2023-2024/chicago-bulls-new-york-knicks-rTRZgG3G/,Chicago Bulls,New York Knicks,2024-04-06,1610612741.0,1610612752.0,0022301119
https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-miami-heat-MJQwgzJM/,Houston Rockets,Miami Heat,2024-04-06,1610612745.0,1610612748.0,0022301120
https://www.oddsportal.com/basketball/usa/nba-2023-2024/memphis-grizzlies-detroit-pistons-veLrhfYS/,Memphis Grizzlies,Detroit Pistons,2024-04-06,1610612763.0,1610612765.0,0022301121
https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-toronto-raptors-hCEchxut/,Milwaukee Bucks,Toronto Raptors,2024-04-06,1610612749.0,1610612761.0,0022301122
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-t47AmEtp/,New Orleans Pelicans,San Antonio Spurs,2024-04-06,1610612740.0,1610612759.0,0022301123
https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-sacramento-kings-l6SVfdlA/,Boston Celtics,Sacramento Kings,2024-04-06,1610612738.0,1610612758.0,0022301118
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-orlando-magic-EmzJcb4i/,Charlotte Hornets,Orlando Magic,2024-04-06,1610612766.0,1610612753.0,0022301115
https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-oklahoma-city-thunder-hvZMdIJc/,Indiana Pacers,Oklahoma City Thunder,2024-04-06,1610612754.0,1610612760.0,0022301116
https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-portland-trail-blazers-z3ORexZ3/,Washington Wizards,Portland Trail Blazers,2024-04-06,1610612764.0,1610612757.0,0022301117
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-denver-nuggets-nsnyZERj/,Los Angeles Clippers,Denver Nuggets,2024-04-05,1610612746.0,1610612743.0,0022301114
https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-golden-state-warriors-8jmXZfCp/,Houston Rockets,Golden State Warriors,2024-04-05,1610612745.0,1610612744.0,0022301113
https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-atlanta-hawks-zR6EnYej/,Dallas Mavericks,Atlanta Hawks,2024-04-05,1610612742.0,1610612737.0,0022301124
https://www.oddsportal.com/basketball/usa/nba-2023-2024/miami-heat-philadelphia-76ers-l660uHlN/,Miami Heat,Philadelphia 76ers,2024-04-05,1610612748.0,1610612755.0,0022301111
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-sacramento-kings-29A4vy4T/,New York Knicks,Sacramento Kings,2024-04-05,1610612752.0,1610612758.0,0022301112
https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-cleveland-cavaliers-fq7dtcZG/,Phoenix Suns,Cleveland Cavaliers,2024-04-04,1610612756.0,1610612739.0,0022301110
https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-memphis-grizzlies-bHDmrJ44/,Milwaukee Bucks,Memphis Grizzlies,2024-04-04,1610612749.0,1610612763.0,0022301107
https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-toronto-raptors-tz2jpumJ/,Minnesota Timberwolves,Toronto Raptors,2024-04-04,1610612750.0,1610612761.0,0022301108
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-Gh8hswKA/,New Orleans Pelicans,Orlando Magic,2024-04-04,1610612740.0,1610612753.0,0022301109
https://www.oddsportal.com/basketball/usa/nba-2023-2024/atlanta-hawks-detroit-pistons-ETByoLKo/,Atlanta Hawks,Detroit Pistons,2024-04-04,1610612737.0,1610612765.0,0022301104
https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-oklahoma-city-thunder-Q3Fupuzh/,Boston Celtics,Oklahoma City Thunder,2024-04-04,1610612738.0,1610612760.0,0022301105
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,2024-04-04,1610612751.0,1610612754.0,0022301106
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-portland-trail-blazers-AFoRQHZT/,Charlotte Hornets,Portland Trail Blazers,2024-04-04,1610612766.0,1610612757.0,0022301102
https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-los-angeles-lakers-COXhMyro/,Washington Wizards,Los Angeles Lakers,2024-04-04,1610612764.0,1610612747.0,0022301103
https://www.oddsportal.com/basketball/usa/nba-2023-2024/golden-state-warriors-dallas-mavericks-C0k6VuLb/,Golden State Warriors,Dallas Mavericks,2024-04-03,1610612744.0,1610612742.0,0022300589
https://www.oddsportal.com/basketball/usa/nba-2023-2024/sacramento-kings-los-angeles-clippers-ttsNRcKN/,Sacramento Kings,Los Angeles Clippers,2024-04-03,1610612758.0,1610612746.0,0022301101
https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-san-antonio-spurs-KQhETJkB/,Denver Nuggets,San Antonio Spurs,2024-04-03,1610612743.0,1610612759.0,0022301099
https://www.oddsportal.com/basketball/usa/nba-2023-2024/utah-jazz-cleveland-cavaliers-2krJSw5H/,Utah Jazz,Cleveland Cavaliers,2024-04-03,1610612762.0,1610612739.0,0022301100
https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-houston-rockets-6NlAUaz5/,Minnesota Timberwolves,Houston Rockets,2024-04-03,1610612750.0,1610612745.0,0022301098
https://www.oddsportal.com/basketball/usa/nba-2023-2024/miami-heat-new-york-knicks-Y9j2WL5h/,Miami Heat,New York Knicks,2024-04-03,1610612748.0,1610612752.0,0022301096
https://www.oddsportal.com/basketball/usa/nba-2023-2024/philadelphia-76ers-oklahoma-city-thunder-SdL1Ysyt/,Philadelphia 76ers,Oklahoma City Thunder,2024-04-03,1610612755.0,1610612760.0,0022301093
https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-los-angeles-lakers-UabnoLXC/,Toronto Raptors,Los Angeles Lakers,2024-04-03,1610612761.0,1610612747.0,0022301094
https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-milwaukee-bucks-6mK5X1jn/,Washington Wizards,Milwaukee Bucks,2024-04-03,1610612764.0,1610612749.0,0022301095
https://www.oddsportal.com/basketball/usa/nba-2023-2024/chicago-bulls-atlanta-hawks-xYuhEvjO/,Chicago Bulls,Atlanta Hawks,2024-04-02,1610612741.0,1610612737.0,0022301091
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-phoenix-suns-jypdDb5U/,New Orleans Pelicans,Phoenix Suns,2024-04-02,1610612740.0,1610612756.0,0022301092
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-boston-celtics-8hlyIMja/,Charlotte Hornets,Boston Celtics,2024-04-02,1610612766.0,1610612738.0,0022301087
https://www.oddsportal.com/basketball/usa/nba-2023-2024/detroit-pistons-memphis-grizzlies-nqmuHt65/,Detroit Pistons,Memphis Grizzlies,2024-04-02,1610612765.0,1610612763.0,0022301088
https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-brooklyn-nets-GIiqG0LB/,Indiana Pacers,Brooklyn Nets,2024-04-02,1610612754.0,1610612751.0,0022301089
https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-portland-trail-blazers-f9jmFKzI/,Orlando Magic,Portland Trail Blazers,2024-04-02,1610612753.0,1610612757.0,0022301090
https://www.oddsportal.com/basketball/usa/nba-2023-2024/sacramento-kings-utah-jazz-QTbWI2yg/,Sacramento Kings,Utah Jazz,2024-04-01,1610612758.0,1610612762.0,0022301086
https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-dallas-mavericks-r7YfxixE/,Houston Rockets,Dallas Mavericks,2024-04-01,1610612745.0,1610612742.0,0022301083
https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-chicago-bulls-KWeOKO6t/,Minnesota Timberwolves,Chicago Bulls,2024-04-01,1610612750.0,1610612741.0,0022301084
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-oklahoma-city-thunder-6kkCD7aD/,New York Knicks,Oklahoma City Thunder,2024-04-01,1610612752.0,1610612760.0,0022301082
https://www.oddsportal.com/basketball/usa/nba-2023-2024/san-antonio-spurs-golden-state-warriors-EgeSJrMn/,San Antonio Spurs,Golden State Warriors,2024-04-01,1610612759.0,1610612744.0,0022301085
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-los-angeles-lakers-KYn0G9Ff/,Brooklyn Nets,Los Angeles Lakers,2024-04-01,1610612751.0,1610612747.0,0022301078
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-los-angeles-clippers-Yyi4FTU0/,Charlotte Hornets,Los Angeles Clippers,2024-04-01,1610612766.0,1610612746.0,0022301079
https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-philadelphia-76ers-ny9sn1I6/,Toronto Raptors,Philadelphia 76ers,2024-04-01,1610612761.0,1610612755.0,0022301080
https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-miami-heat-Sbj8Emp7/,Washington Wizards,Miami Heat,2024-04-01,1610612764.0,1610612748.0,0022301081
https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-cleveland-cavaliers-xAceHk0l/,Denver Nuggets,Cleveland Cavaliers,2024-03-31,1610612743.0,1610612739.0,0022301077
https://www.oddsportal.com/basketball/usa/nba-2023-2024/atlanta-hawks-milwaukee-bucks-bJbiIVpr/,Atlanta Hawks,Milwaukee Bucks,2024-03-31,1610612737.0,1610612749.0,0022301076
https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-memphis-grizzlies-SzCPMBxR/,Orlando Magic,Memphis Grizzlies,2024-03-31,1610612753.0,1610612763.0,0022301075
https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-boston-celtics-lpDLNiNK/,New Orleans Pelicans,Boston Celtics,2024-03-30,1610612740.0,1610612738.0,0022301074
https://www.oddsportal.com/basketball/usa/nba-2023-2024/sacramento-kings-dallas-mavericks-6LNGOX7E/,Sacramento Kings,Dallas Mavericks,2024-03-30,1610612758.0,1610612742.0,0022301073
https://www.oddsportal.com/basketball/usa/nba-2023-2024/utah-jazz-houston-rockets-hIJCPDh8/,Utah Jazz,Houston Rockets,2024-03-30,1610612762.0,1610612745.0,0022301072
https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-vFVU0UF7/,Denver Nuggets,Minnesota Timberwolves,2024-03-30,1610612743.0,1610612750.0,0022301071
https://www.oddsportal.com/basketball/usa/nba-2023-2024/miami-heat-portland-trail-blazers-4dwI3WVl/,Miami Heat,Portland Trail Blazers,2024-03-30,1610612748.0,1610612757.0,0022301068
https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-phoenix-suns-rmxM2joe/,Oklahoma City Thunder,Phoenix Suns,2024-03-30,1610612760.0,1610612756.0,0022301069
https://www.oddsportal.com/basketball/usa/nba-2023-2024/san-antonio-spurs-new-york-knicks-0OWQ1A01/,San Antonio Spurs,New York Knicks,2024-03-30,1610612759.0,1610612752.0,0022301070
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-chicago-bulls-lWXn9h8R/,Brooklyn Nets,Chicago Bulls,2024-03-30,1610612751.0,1610612741.0,0022301066
https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-philadelphia-76ers-AZwE4CGr/,Cleveland Cavaliers,Philadelphia 76ers,2024-03-30,1610612739.0,1610612755.0,0022301067
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-golden-state-warriors-KjtWCz92/,Charlotte Hornets,Golden State Warriors,2024-03-30,1610612766.0,1610612744.0,0022301062
https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-los-angeles-lakers-bsuzCfO8/,Indiana Pacers,Los Angeles Lakers,2024-03-30,1610612754.0,1610612747.0,0022301063
https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-los-angeles-clippers-SGqvBEwF/,Orlando Magic,Los Angeles Clippers,2024-03-30,1610612753.0,1610612746.0,0022301064
https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-detroit-pistons-67rrAYhL/,Washington Wizards,Detroit Pistons,2024-03-30,1610612764.0,1610612765.0,0022301065
